VariationID	Landmark	Chr	Start	End	VariationType	LocusChr	LocusStart	LocusEnd	Reference	PubMedID	Method/platform	Gain	Loss	TotalGainLossInv	Frequency	SampleSize	Genes
Variation_1050	chr3:6200539..6205286	chr3	6200539	6205286	CopyNumber	chr3	6181901	6224264	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1051	chr3:6196030..6211038	chr3	6196030	6211038	CopyNumber	chr3	6181901	6224264	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1052	chr3:10213124..10215658	chr3	10213124	10215658	CopyNumber	chr3	10213124	10215658	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	IRAK2
Variation_1053	chr3:24757243..24759837	chr3	24757243	24759837	CopyNumber	chr3	24627517	24917930	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1054	chr3:25811737..25818985	chr3	25811737	25818985	CopyNumber	chr3	25811737	25818985	Conrad et al. (2005)	16327808	Mendelian inconsistencies		2	2		30 control trios (HapMap, YRI)	
Variation_1055	chr3:62643369..62669282	chr3	62643369	62669282	CopyNumber	chr3	62640320	62670907	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	CADPS
Variation_1056	chr3:62688959..62690067	chr3	62688959	62690067	CopyNumber	chr3	62686342	62690900	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	CADPS
Variation_1057	chr3:89756519..89758560	chr3	89756519	89758560	CopyNumber	chr3	89743849	89767766	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1058	chr3:116146746..116150586	chr3	116146746	116150586	CopyNumber	chr3	116134773	116162034	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	ZBTB20
Variation_1059	chr3:117585789..117591189	chr3	117585789	117591189	CopyNumber	chr3	117568368	117604638	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	LSAMP
Variation_1060	chr3:131275794..131288680	chr3	131275794	131288680	CopyNumber	chr3	131142165	131422680	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	ALG1L2
Variation_1061	chr3:138512881..138514451	chr3	138512881	138514451	CopyNumber	chr3	138510656	138525918	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1062	chr3:144093308..144094355	chr3	144093308	144094355	CopyNumber	chr3	144093308	144094355	Conrad et al. (2005)	16327808	Mendelian inconsistencies		2	2		30 control trios (HapMap, YRI)	
Variation_1063	chr3:145768599..145770053	chr3	145768599	145770053	CopyNumber	chr3	145718900	145874085	Conrad et al. (2005)	16327808	Mendelian inconsistencies		2	2		30 control trios (HapMap, YRI)	
Variation_1064	chr3:147111601..147138529	chr3	147111601	147138529	CopyNumber	chr3	146955718	147240892	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1065	chr3:166758477..166772126	chr3	166758477	166772126	CopyNumber	chr3	166747891	166802843	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1066	chr3:176564045..176566101	chr3	176564045	176566101	CopyNumber	chr3	176564045	176566101	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	NAALADL2
Variation_1067	chr3:190846796..190848193	chr3	190846796	190848193	CopyNumber	chr3	190839295	190862883	Conrad et al. (2005)	16327808	Mendelian inconsistencies		2	2		30 control trios (HapMap, YRI)	TP63
Variation_1068	chr3:192550565..192552686	chr3	192550565	192552686	CopyNumber	chr3	192349713	192761809	Conrad et al. (2005)	16327808	Mendelian inconsistencies		2	2		30 control trios (HapMap, YRI)	CCDC50
Variation_1069	chr3:192858248..192862542	chr3	192858248	192862542	CopyNumber	chr3	192858248	192862542	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1070	chr3:199333079..199334590	chr3	199333079	199334590	CopyNumber	chr3	198343363	199450740	Conrad et al. (2005)	16327808	Mendelian inconsistencies		2	2		30 control trios (HapMap, YRI)	
Variation_1071	chr4:12051326..12060216	chr4	12051326	12060216	CopyNumber	chr4	12037471	12060216	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1072	chr4:28621477..28625019	chr4	28621477	28625019	CopyNumber	chr4	28620308	28628750	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1073	chr4:33201309..33203418	chr4	33201309	33203418	CopyNumber	chr4	33194487	33208752	Conrad et al. (2005)	16327808	Mendelian inconsistencies		2	2		30 control trios (HapMap, YRI)	
Variation_1074	chr4:34602808..34649577	chr4	34602808	34649577	CopyNumber	chr4	34459337	34916910	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1075	chr4:34610540..34623433	chr4	34610540	34623433	CopyNumber	chr4	34459337	34916910	Conrad et al. (2005)	16327808	Mendelian inconsistencies		2	2		30 control trios (HapMap, YRI)	
Variation_1076	chr4:34627033..34649577	chr4	34627033	34649577	CopyNumber	chr4	34459337	34916910	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1077	chr4:34627033..34632871	chr4	34627033	34632871	CopyNumber	chr4	34459337	34916910	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1078	chr4:57378127..57383922	chr4	57378127	57383922	CopyNumber	chr4	57368609	57401878	Conrad et al. (2005)	16327808	Mendelian inconsistencies		4	4		30 control trios (HapMap, YRI)	HOPX
Variation_1079	chr4:65339256..65342490	chr4	65339256	65342490	CopyNumber	chr4	65339256	65342490	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1080	chr4:65647635..65669346	chr4	65647635	65669346	CopyNumber	chr4	65647635	65669346	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	LOC401134
Variation_1081	chr4:67533883..67537895	chr4	67533883	67537895	CopyNumber	chr4	67533883	67537895	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1082	chr4:69256988..69288296	chr4	69256988	69288296	CopyNumber	chr4	68998845	70594932	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	UGT2B17
Variation_1083	chr4:69256988..69319369	chr4	69256988	69319369	CopyNumber	chr4	68998845	70594932	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	UGT2B17
Variation_1084	chr4:69276358..69311720	chr4	69276358	69311720	CopyNumber	chr4	68998845	70594932	Conrad et al. (2005)	16327808	Mendelian inconsistencies		2	2		30 control trios (HapMap, YRI)	
Variation_1085	chr4:69276358..69288296	chr4	69276358	69288296	CopyNumber	chr4	68998845	70594932	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1087	chr4:69301358..69311720	chr4	69301358	69311720	CopyNumber	chr4	68998845	70594932	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1088	chr4:78141299..78144383	chr4	78141299	78144383	CopyNumber	chr4	78139748	78144386	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1089	chr4:92290742..92291877	chr4	92290742	92291877	CopyNumber	chr4	92266177	92503292	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	FAM190A
Variation_1090	chr4:97096384..97101975	chr4	97096384	97101975	CopyNumber	chr4	97096384	97101975	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1091	chr4:104562013..104570584	chr4	104562013	104570584	CopyNumber	chr4	104492443	104699999	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1092	chr4:104562013..104572220	chr4	104562013	104572220	CopyNumber	chr4	104492443	104699999	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1093	chr4:104569999..104588785	chr4	104569999	104588785	CopyNumber	chr4	104492443	104699999	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1094	chr4:112341236..112342658	chr4	112341236	112342658	CopyNumber	chr4	112341236	112342658	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1095	chr4:112655019..112664961	chr4	112655019	112664961	CopyNumber	chr4	112655019	112664961	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1096	chr4:116525762..116529937	chr4	116525762	116529937	CopyNumber	chr4	116439195	116551743	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1097	chr4:117272633..117277697	chr4	117272633	117277697	CopyNumber	chr4	117262991	117442344	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1098	chr4:122643673..122647468	chr4	122643673	122647468	CopyNumber	chr4	122614443	122648066	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	QRFPR
Variation_1099	chr4:130864662..130876011	chr4	130864662	130876011	CopyNumber	chr4	130864662	130876011	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1100	chr4:131524142..131532676	chr4	131524142	131532676	CopyNumber	chr4	131524142	131532676	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1101	chr4:138450499..138455054	chr4	138450499	138455054	CopyNumber	chr4	138438626	138654737	Conrad et al. (2005)	16327808	Mendelian inconsistencies		4	4		30 control trios (HapMap, YRI)	
Variation_1102	chr4:144152876..144154092	chr4	144152876	144154092	CopyNumber	chr4	144152876	144157966	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1103	chr4:145072587..145092358	chr4	145072587	145092358	CopyNumber	chr4	144705898	145489197	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1104	chr4:145264555..145271340	chr4	145264555	145271340	CopyNumber	chr4	144705898	145489197	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1105	chr4:145282003..145287820	chr4	145282003	145287820	CopyNumber	chr4	144705898	145489197	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	GYPB
Variation_1106	chr4:145294654..145296335	chr4	145294654	145296335	CopyNumber	chr4	144705898	145489197	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	GYPB
Variation_1107	chr4:145316383..145320429	chr4	145316383	145320429	CopyNumber	chr4	144705898	145489197	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1108	chr4:145337575..145342932	chr4	145337575	145342932	CopyNumber	chr4	144705898	145489197	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1109	chr4:152238370..152239903	chr4	152238370	152239903	CopyNumber	chr4	151945664	152455567	Conrad et al. (2005)	16327808	Mendelian inconsistencies		2	2		30 control trios (HapMap, YRI)	LRBA
Variation_1110	chr4:156954610..156955686	chr4	156954610	156955686	CopyNumber	chr4	156951873	156955686	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	GUCY1A3
Variation_1111	chr4:158910210..158949608	chr4	158910210	158949608	CopyNumber	chr4	158910210	158949608	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1112	chr4:162238605..162242220	chr4	162238605	162242220	CopyNumber	chr4	162122234	162467292	Conrad et al. (2005)	16327808	Mendelian inconsistencies		3	3		30 control trios (HapMap, YRI)	
Variation_1113	chr4:164312697..164315261	chr4	164312697	164315261	CopyNumber	chr4	164312066	164315261	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1114	chr4:171644234..171646377	chr4	171644234	171646377	CopyNumber	chr4	171498341	171662685	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1115	chr4:178970055..178976307	chr4	178970055	178976307	CopyNumber	chr4	178967231	179000336	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1116	chr4:181511702..181518031	chr4	181511702	181518031	CopyNumber	chr4	181510265	181518031	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1117	chr5:101207948..101220592	chr5	101207948	101220592	CopyNumber	chr5	101197157	101234788	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1118	chr5:101200731..101220592	chr5	101200731	101220592	CopyNumber	chr5	101197157	101234788	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1119	chr5:101200731..101207948	chr5	101200731	101207948	CopyNumber	chr5	101197157	101234788	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1120	chr5:165771085..165772323	chr5	165771085	165772323	CopyNumber	chr5	165455406	166010000	Conrad et al. (2005)	16327808	Mendelian inconsistencies		2	2		30 control trios (HapMap, YRI)	
Variation_1121	chr6:284878..305721	chr6	284878	305721	CopyNumber	chr6	5001	720274	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	DUSP22
Variation_1122	chr6:22099000..22103055	chr6	22099000	22103055	CopyNumber	chr6	22099000	22103055	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	FLJ22536
Variation_1123	chr6:27783269..27784773	chr6	27783269	27784773	CopyNumber	chr6	27783269	27784773	Conrad et al. (2005)	16327808	Mendelian inconsistencies		2	2		30 control trios (HapMap, YRI)	
Variation_1124	chr6:29989326..29995225	chr6	29989326	29995225	CopyNumber	chr6	29900413	30083123	Conrad et al. (2005)	16327808	Mendelian inconsistencies		2	2		30 control trios (HapMap, YRI)	
Variation_1126	chr6:29991570..29995225	chr6	29991570	29995225	CopyNumber	chr6	29900413	30083123	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1127	chr6:34046274..34050206	chr6	34046274	34050206	CopyNumber	chr6	34027425	34063358	Conrad et al. (2005)	16327808	Mendelian inconsistencies		5	5		30 control trios (HapMap, YRI)	
Variation_1128	chr6:67827226..67828358	chr6	67827226	67828358	CopyNumber	chr6	67821780	67861137	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1129	chr6:77076267..77078698	chr6	77076267	77078698	CopyNumber	chr6	77073713	77084327	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1130	chr6:79039487..79043997	chr6	79039487	79043997	CopyNumber	chr6	78852599	79250187	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1131	chr6:79078423..79083083	chr6	79078423	79083083	CopyNumber	chr6	78852599	79250187	Conrad et al. (2005)	16327808	Mendelian inconsistencies		2	2		30 control trios (HapMap, YRI)	
Variation_1133	chr6:87466743..87469692	chr6	87466743	87469692	CopyNumber	chr6	87466524	87469692	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1134	chr6:93632502..93635080	chr6	93632502	93635080	CopyNumber	chr6	93620314	93728395	Conrad et al. (2005)	16327808	Mendelian inconsistencies		2	2		30 control trios (HapMap, YRI)	
Variation_1135	chr6:102041883..102044860	chr6	102041883	102044860	CopyNumber	chr6	102038580	102065674	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	GRIK2
Variation_1136	chr6:102044860..102058195	chr6	102044860	102058195	CopyNumber	chr6	102038580	102065674	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	GRIK2
Variation_1137	chr6:103854444..103865469	chr6	103854444	103865469	CopyNumber	chr6	103255429	104324467	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1138	chr6:113263862..113267168	chr6	113263862	113267168	CopyNumber	chr6	113263862	113267168	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1139	chr6:119293810..119298150	chr6	119293810	119298150	CopyNumber	chr6	119293810	119298150	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	MCM9
Variation_1140	chr6:146263446..146270660	chr6	146263446	146270660	CopyNumber	chr6	146263446	146270660	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	SHPRH
Variation_1141	chr7:3165767..3214565	chr7	3165767	3214565	CopyNumber	chr7	3059866	3333470	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	SDK1
Variation_1142	chr7:7123923..7128355	chr7	7123923	7128355	CopyNumber	chr7	6460973	7950929	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1143	chr7:7639849..7641992	chr7	7639849	7641992	CopyNumber	chr7	6460973	7950929	Conrad et al. (2005)	16327808	Mendelian inconsistencies		2	2		30 control trios (HapMap, YRI)	LOC729852
Variation_1144	chr7:11076174..11087439	chr7	11076174	11087439	CopyNumber	chr7	11076174	11125514	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1145	chr7:12878249..12885563	chr7	12878249	12885563	CopyNumber	chr7	12876876	12897396	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1146	chr7:22913887..22917422	chr7	22913887	22917422	CopyNumber	chr7	22913180	22919429	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1147	chr7:24075460..24085637	chr7	24075460	24085637	CopyNumber	chr7	24042445	24207550	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1148	chr7:24075460..24084309	chr7	24075460	24084309	CopyNumber	chr7	24042445	24207550	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1149	chr7:36846677..36881344	chr7	36846677	36881344	CopyNumber	chr7	36846677	36881344	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	ELMO1
Variation_1150	chr7:61223475..61244954	chr7	61223475	61244954	CopyNumber	chr7	60893982	62745400	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1151	chr7:78447777..78493877	chr7	78447777	78493877	CopyNumber	chr7	78424807	78532576	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	MAGI2
Variation_1152	chr7:78453819..78471787	chr7	78453819	78471787	CopyNumber	chr7	78424807	78532576	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	MAGI2
Variation_1153	chr7:78447777..78469281	chr7	78447777	78469281	CopyNumber	chr7	78424807	78532576	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	MAGI2
Variation_1154	chr7:78459061..78493877	chr7	78459061	78493877	CopyNumber	chr7	78424807	78532576	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	MAGI2
Variation_1155	chr7:78473328..78493877	chr7	78473328	78493877	CopyNumber	chr7	78424807	78532576	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	MAGI2
Variation_1156	chr7:92972130..92975208	chr7	92972130	92975208	CopyNumber	chr7	92964736	93000893	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1157	chr7:97006986..97012626	chr7	97006986	97012626	CopyNumber	chr7	97006986	97012626	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	TAC1
Variation_1158	chr7:104060626..104066598	chr7	104060626	104066598	CopyNumber	chr7	104030691	104085555	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	LHFPL3
Variation_1159	chr7:104226931..104235192	chr7	104226931	104235192	CopyNumber	chr7	104226931	104235192	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1160	chr7:109036770..109045181	chr7	109036770	109045181	CopyNumber	chr7	109003931	109201570	Conrad et al. (2005)	16327808	Mendelian inconsistencies		3	3		30 control trios (HapMap, YRI)	
Variation_1161	chr7:109035745..109045181	chr7	109035745	109045181	CopyNumber	chr7	109003931	109201570	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1163	chr7:110642530..110674358	chr7	110642530	110674358	CopyNumber	chr7	110381921	110930534	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	IMMP2L
Variation_1164	chr7:118749072..118755694	chr7	118749072	118755694	CopyNumber	chr7	118749072	118756398	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1165	chr7:118749072..118750078	chr7	118749072	118750078	CopyNumber	chr7	118749072	118756398	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1166	chr7:126371648..126373881	chr7	126371648	126373881	CopyNumber	chr7	126370170	126373907	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	GRM8
Variation_1167	chr7:133243154..133250374	chr7	133243154	133250374	CopyNumber	chr7	133094440	133281052	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1168	chr7:133250331..133253519	chr7	133250331	133253519	CopyNumber	chr7	133094440	133281052	Conrad et al. (2005)	16327808	Mendelian inconsistencies		2	2		30 control trios (HapMap, YRI)	
Variation_1169	chr7:139650747..139654637	chr7	139650747	139654637	CopyNumber	chr7	139646045	139654637	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1170	chr7:140538173..140543352	chr7	140538173	140543352	CopyNumber	chr7	140538173	140543352	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	LOC100131199
Variation_1171	chr7:143122636..143126648	chr7	143122636	143126648	CopyNumber	chr7	142664612	143806286	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1172	chr7:152593579..152608517	chr7	152593579	152608517	CopyNumber	chr7	152438821	152736427	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1173	chr7:154400493..154403027	chr7	154400493	154403027	CopyNumber	chr7	154342756	154403027	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1174	chr7:155196301..155200772	chr7	155196301	155200772	CopyNumber	chr7	155196301	155200772	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1175	chr8:2242110..2244333	chr8	2242110	2244333	CopyNumber	chr8	1972946	2591249	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1176	chr8:2247131..2250519	chr8	2247131	2250519	CopyNumber	chr8	1972946	2591249	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1177	chr8:2242110..2250519	chr8	2242110	2250519	CopyNumber	chr8	1972946	2591249	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1178	chr8:2244333..2249691	chr8	2244333	2249691	CopyNumber	chr8	1972946	2591249	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1179	chr8:4605218..4691949	chr8	4605218	4691949	CopyNumber	chr8	3586932	6236366	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	CSMD1
Variation_1180	chr8:4708927..4717662	chr8	4708927	4717662	CopyNumber	chr8	3586932	6236366	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	CSMD1
Variation_1181	chr8:6052575..6056851	chr8	6052575	6056851	CopyNumber	chr8	3586932	6236366	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1182	chr8:7203870..7206953	chr8	7203870	7206953	CopyNumber	chr8	6349797	8488171	Conrad et al. (2005)	16327808	Mendelian inconsistencies		2	2		30 control trios (HapMap, YRI)	ZNF705G
Variation_1183	chr8:12042492..12046608	chr8	12042492	12046608	CopyNumber	chr8	11736156	12646342	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	FAM66D
Variation_1184	chr8:13671021..13690801	chr8	13671021	13690801	CopyNumber	chr8	13581607	13896999	Conrad et al. (2005)	16327808	Mendelian inconsistencies		2	2		30 control trios (HapMap, YRI)	
Variation_1185	chr8:13671021..13684392	chr8	13671021	13684392	CopyNumber	chr8	13581607	13896999	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1186	chr8:13665623..13690801	chr8	13665623	13690801	CopyNumber	chr8	13581607	13896999	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1188	chr8:13665623..13684908	chr8	13665623	13684908	CopyNumber	chr8	13581607	13896999	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1189	chr8:16309085..16318732	chr8	16309085	16318732	CopyNumber	chr8	16231527	17010633	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1190	chr8:24556452..24565907	chr8	24556452	24565907	CopyNumber	chr8	24556452	24565907	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
Variation_1191	chr8:25030376..25045471	chr8	25030376	25045471	CopyNumber	chr8	25018449	25081492	Conrad et al. (2005)	16327808	Mendelian inconsistencies		2	2		30 control trios (HapMap, YRI)	
Variation_1192	chr8:25032578..25045471	chr8	25032578	25045471	CopyNumber	chr8	25018449	25081492	Conrad et al. (2005)	16327808	Mendelian inconsistencies		1	1		30 control trios (HapMap, YRI)	
